key,usage_count
"1908071608738",3
"1908071621294",3
"7506606503646",3
"7506606503653",3
"7506606503660",3
"7506606503677",3
"7506606503684",3
"7506606503691",3
"7506606503707",3
"7506606503714",3
"7506606503721",3
"7506606503738",3
"7506606302324",2
"7506606501161",2
"QS-30232",2
"QS-50116",2
"123456",1
"1908071222729",1
"1908071222736",1
"1908071524755",1
"1908071538370",1
"1908071538394",1
"1908071538424",1
"1908071538431",1
"1908071542070",1
"1908071542155",1
"1908071542315",1
"1908071542452",1
"1908071554202",1
"1908071554226",1
"1908071554233",1
"1908071554240",1
"1908071554257",1
"1908071554264",1
"1908071554271",1
"1908071554295",1
"1908071653486",1
"1908071664567",1
"1908071664581",1
"1908071664604",1
"1908071664666",1
"1908071664727",1
"1908071668459",1
"1908071668671",1
"1908071668688",1
"1908071683179",1
"1908071683186",1
"1908071687146",1
"1908071687153",1
"1908071687320",1
"1908071687337",1
"1908071687597",1
"1908071687610",1
"1908071688037",1
"1908071688044",1
"1908071688051",1
"1908071688389",1
"1908071688723",1
"1908071791003",1
"1908071791010",1
"1908071791027",1
"1908071791096",1
"1908071809234",1
"1908071809241",1
"1908071809296",1
"1908071809302",1
"1908071812678",1
"1908071812708",1
"1908071812746",1
"1908071844082",1
"1908071844495",1
"1908071849254",1
"1908071849575",1
"1908071849612",1
"1908071855828",1
"1908071855842",1
"1908071858324",1
"1908071858409",1
"1908071901884",1
"1908071968061",1
"1908072026012",1
"555555",1
"6932782350292",1
"6974462806149",1
"6974462806217",1
"6974462806231",1
"6974462830489",1
"6974462831028",1
"6974462831042",1
"6974462831059",1
"6974462831066",1
"6974462831073",1
"6974462831080",1
"6974462831103",1
"7506606002637",1
"7506606002699",1
"7506606003160",1
"7506606003313",1
"7506606004495",1
"7506606004501",1
"7506606100159",1
"7506606101576",1
"7506606101583",1
"7506606201764",1
"7506606203706",1
"7506606300306",1
"7506606302195",1
"7506606302201",1
"7506606302317",1
"7506606303079",1
"7506606303574",1
"7506606303604",1
"7506606400129",1
"7506606400150",1
"7506606400983",1
"7506606400990",1
"7506606401058",1
"7506606401089",1
"7506606401133",1
"7506606401164",1
"7506606401225",1
"7506606401249",1
"7506606402185",1
"7506606501178",1
"7506606501505",1
"7506606501673",1
"7506606501680",1
"7506606502366",1
"7506606503899",1
"7506606503974",1
"7506606504131",1
"7506606504216",1
"7506606504322",1
"7506606600376",1
"7506606600420",1
"7506606600437",1
"7506606600444",1
"7506606600475",1
"7506606600482",1
"7506606600499",1
"7506606600666",1
"7506606600673",1
"7506606600680",1
"7506606600703",1
"7506606800783",1
"7506606800837",1
"7506606800844",1
"7506606800882",1
"9304252282629",1
"9387821601168",1
"MCR-80621",1
"MCR-80623",1
"MCR-83048",1
"MCR-83102",1
"MCR-83104",1
"MCR-83105",1
"MCR-83106",1
"MCR-83107",1
"MCR-83108",1
"MCR-83110",1
"Mr-22272",1
"Mr-22273",1
"Mr-2601",1
"Mr-52475",1
"Mr-53837",1
"Mr-53839",1
"Mr-54207",1
"Mr-54231",1
"Mr-54245",1
"Mr-55420",1
"Mr-55422",1
"Mr-55423",1
"Mr-55424",1
"Mr-55425",1
"Mr-55426",1
"Mr-55427",1
"Mr-55429",1
"Mr-65348",1
"Mr-66456",1
"Mr-66458",1
"Mr-66460",1
"Mr-66466",1
"Mr-66472",1
"Mr-66845",1
"Mr-66867",1
"Mr-66868",1
"Mr-68317",1
"Mr-68318",1
"Mr-68714",1
"Mr-68715",1
"Mr-68732",1
"Mr-68733",1
"Mr-68759",1
"Mr-68761",1
"Mr-68803",1
"Mr-68804",1
"Mr-68805",1
"Mr-68838",1
"Mr-68872",1
"Mr-79100",1
"Mr-79101",1
"Mr-79102",1
"Mr-79109",1
"Mr-80923",1
"Mr-80924",1
"Mr-80929",1
"Mr-80930",1
"Mr-81267",1
"Mr-81270",1
"Mr-81274",1
"Mr-84408",1
"Mr-84449",1
"Mr-84925",1
"Mr-84957",1
"Mr-84961",1
"Mr-85582",1
"Mr-85584",1
"Mr-85832",1
"Mr-85840",1
"Mr-90188",1
"Mr-96806",1
"MZ-160116",1
"QS-00263",1
"QS-00269",1
"QS-00316",1
"QS-00331",1
"QS-00449",1
"QS-00450",1
"QS-10015",1
"QS-10157",1
"QS-10158",1
"QS-20176",1
"QS-20370",1
"QS-30030",1
"QS-30219",1
"QS-30220",1
"QS-30231",1
"QS-30307",1
"QS-30357",1
"QS-30360",1
"QS-40012",1
"QS-40015",1
"QS-40098",1
"QS-40099",1
"QS-40105",1
"QS-40108",1
"QS-40113",1
"QS-40116",1
"QS-40122",1
"QS-40124",1
"QS-40218",1
"QS-50117",1
"QS-50150",1
"QS-50168",1
"QS-50236",1
"QS-50397",1
"QS-50413",1
"QS-50421",1
"QS-50432",1
"QS-60037",1
"QS-60042",1
"QS-60043",1
"QS-60044",1
"QS-60047",1
"QS-60048",1
"QS-60049",1
"QS-60066",1
"QS-60067",1
"QS-60068",1
"QS-60070",1
"QS-80078",1
"QS-80084",1
